"","Nombre","Nacionalidad","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Autogoles","Tarjetas amarillas","Tarjetas rojas"
"49","Rolando González Orta","Mexicano","74.6 kg","1.72","28 Años, 3 Mes(es), 24 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"50","Elbis Sousa Nascimento","Brasileño","78 kg","1.76","28 Años, 4 Mes(es), 24 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"51","Francisco Manuel Reyes Maldonado","Mexicano","72 kg","1.82","22 Años, 7 Mes(es), 15 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"52","José Juan García Manríquez","Mexicano","81.2 kg","1.85","25 Años, 2 Mes(es), 24 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"53","Edgar Zatarain Lizárraga","Mexicano","60 kg","1.73","21 Años, 3 Mes(es), 22 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"54","Brayan Enrique Coronado López","Mexicano","70 kg","1.74","22 Años, 7 Mes(es), 17 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"55","Ronaldo Joel González García","Mexicano","57.8 kg","1.64","21 Años, 7 Mes(es), 27 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"56","Pablo Leandro Gómez ","Mexicano","66.8 kg","1.67","23 Años, 10 Mes(es), 3 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"57","Edgar Jahir Alaffita García","Mexicano","59.8 kg","1.6","24 Años, 7 Mes(es), 1 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"58","Jesús Efren García Garduño","Mexicano","68.6 kg","1.7","21 Años, 4 Mes(es), 29 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"59","Omar Ernesto Soto López","Mexicano","75.4 kg","1.82","21 Años, 6 Mes(es), 19 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"60","Jesús Alejandro Venegas Vergara","Mexicano","68 kg","1.77","26 Años, 1 Mes(es), 20 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"61","César Alejandro Ruíz Romero","Mexicano","70.6 kg","1.75","23 Años, 11 Mes(es), 5 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"62","Duilio Guillermo Tejeda Hernández","Mexicano","77.8 kg","1.81","23 Años, 2 Mes(es), 2 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"63","Isaác Daniel Aguilar Acevedo","Mexicano","73.2 kg","1.75","23 Años, 9 Mes(es), 28 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"64","Juan Carlos Quintal Sequera","Mexicano","61 kg","1.75","22 Años, 3 Mes(es), 28 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"65","Marco Diego Rincón Solorio","Mexicano","69 kg","1.72","22 Años, 10 Mes(es), 29 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"66","Jesús Roberto Aguirre Acosta","Mexicano","64.8 kg","1.75","23 Años, 2 Mes(es), 23 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"67","Vladimir Moragrega Soto","Mexicano","86 kg","1.85","22 Años, 9 Mes(es), 24 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"68","Axel Cruz García Barrera","Mexicano","70.1 kg","1.69","21 Años, 2 Mes(es), 28 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"69","Bruno Schmutz Rivas","Venezolano","72 kg","1.79","18 Años, 7 Mes(es), 29 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"70","Ramiro Costa ","Argentino","87 kg","1.9","28 Años, 8 Mes(es), 29 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"71","Jonathan Vega Gastelum","Mexicano","81 kg","1.81","23 Años, 8 Mes(es), 13 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"72","Luis Arcadio García Bañuelos","Mexicano","71 kg","1.78","28 Años, 1 Mes(es), 25 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Jonathan Emmanuel Orozco Domínguez","Mexicano","81 kg","1.84","35 Años, 7 Día(s)","1319","15","15",NA,"0","1","0"
"80","Carlos Alberto Higuera de los Ríos","Mexicano","77 kg","1.82","20 Años, 6 Mes(es), 1 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"81","Benny Díaz Jáuregui","Mexicano","83 kg","1.87","22 Años, 5 Mes(es), 4 Día(s)","211","3","2",NA,"0",NA,"0"
"82","Brayan Alexis Angulo León","Colombiano","74 kg","1.75","31 Años, 6 Mes(es), 17 Día(s)","1440","17","17",NA,"0","4","0"
"83","Eduardo Santiago Tercero Méndez","Mexicano","69 kg","1.82","25 Años, 13 Día(s)","675","8","7",NA,"0","2","0"
"84","Gonzalo Alejandro Jara Reyes","Chileno","77 kg","1.78","35 Años, 8 Mes(es), 21 Día(s)","1115","13","13",NA,"0","4",NA
"85","Vladimir Eduardo Loroña Aguilar","Mexicano","75 kg","1.8","22 Años, 6 Mes(es), 3 Día(s)","1275","16","15",NA,"0","6","0"
"86","Jaime Gómez Valencia","Mexicano","67 kg","1.76","27 Años, 10 Mes(es), 2 Día(s)","487","14","2",NA,"0","1","0"
"87","Víctor Andrés Guzmán Olmedo","Mexicano","75 kg","1.74","19 Años, 2 Mes(es), 12 Día(s)","1077","13","13",NA,NA,"3","0"
"88","Salvador Manríquez Frías","Mexicano","73 kg","1.86","21 Años, 12 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"89","Esteban Andrés Pavez Suazo","Chileno","73 kg","1.8","31 Años, 18 Día(s)","1304","15","15",NA,"0","4","0"
"90","Fidel Francisco Martínez Tenorio","Mexicano","75 kg","1.79","31 Años, 3 Mes(es), 4 Día(s)","960","17","12","8","0",NA,"0"
"91","Junior Nazareno Sornoza Moreira","Ecuatoriano","63 kg","1.72","27 Años, 3 Mes(es), 22 Día(s)","1155","16","14",NA,"0","3","0"
"92","Christian Hernando Rivera Cuellar","Colombiano","77 kg","1.85","25 Años, 4 Mes(es), 5 Día(s)","1275","17","15",NA,"0","1","0"
"93","Marcel Alejandro Ruiz Suárez","Mexicano","68 kg","1.8","20 Años, 6 Mes(es), 24 Día(s)","285","10","1",NA,"0","1","0"
"94","Jordi Cortizo de la Piedra","Mexicano","69 kg","1.72","24 Años, 10 Mes(es), 19 Día(s)","256","10","2",NA,"0","1","0"
"95","Luis Javier Gamíz Ávila","Mexicano","68 kg","1.72","21 Años, 1 Mes(es), 15 Día(s)","10","3",NA,NA,"0",NA,"0"
"96","Edgar Iván López Rodríguez","Mexicano","68 kg","1.8","22 Años, 0 Mes(es), 28 Día(s)","269","12","1","2","0",NA,"0"
"97","David Matias Barbona ","Argentino","69 kg","1.79","26 Años, 2 Mes(es), 28 Día(s)","1111","16","14","1","0","2","0"
"98","Fabián Andrés Castillo Sánchez","Colombiano","70 kg","1.71","28 Años, 11 Mes(es), 2 Día(s)","670","16","5","2","0","1","0"
"99","Mauro Manotas Paez","Colombiano","69 kg","1.78","25 Años, 10 Mes(es), 4 Día(s)","1225","17","16","5","0","2","0"
