"","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Tarjetas amarillas"
"303",0.0770807751668714,-1.2067855027154,1.11918754462316,0.143284878964531,0.797917401595896,0.306951474833986,5.3135187559881e-17,0.325258696364487
"304",0.73850846190763,0.969662737269571,-0.467430574192493,-0.656053344706058,-0.253696814866387,-1.39916230518987,5.3135187559881e-17,-0.993846016669266
"305",-0.268011930958743,0.192359794417794,-1.14740976797063,-1.25384902480158,-1.30531103132867,-1.39916230518987,-1.0532652555793,-5.96150884818177e-17
"317",1.02608571701231,0.969662737269571,1.57250700714192,1.41402769608188,1.14845547374999,1.3306197428483,5.3135187559881e-17,-5.96150884818177e-17
"319",-0.124223303406404,0.0368992058474386,-0.0141111116737356,1.39011586887806,1.14845547374999,1.3306197428483,5.3135187559881e-17,0.325258696364487
"320",0.450931206802952,1.43604450298064,-0.920750036711251,0.18427658274251,-0.253696814866387,-0.0342712811707849,5.3135187559881e-17,0.325258696364487
"321",-1.41832095137745,-0.584943148433983,-1.37406949923001,1.41402769608188,1.14845547374999,1.3306197428483,5.3135187559881e-17,0.325258696364487
"322",0.882297089459969,0.814202148699216,0.439208350845022,0.177444632112846,-0.253696814866387,-0.0342712811707849,-1.0532652555793,0.325258696364487
"323",1.16987434456465,1.59150509155099,-0.467430574192493,0.570281793318478,0.447379329441801,0.648174230838757,-1.0532652555793,-0.993846016669266
"324",-0.756893264636696,0.503280971558505,-1.14740976797063,-1.59544655628474,-1.30531103132867,1.34187948258439e-16,5.3135187559881e-17,-5.96150884818177e-17
"326",-1.56210957892979,-0.274021971293272,0.439208350845022,-0.246136306926269,-0.253696814866387,-0.375494037175556,5.3135187559881e-17,-5.96150884818177e-17
"327",0.163353951698274,0.192359794417794,-0.240770842933114,-0.116329244962669,1.14845547374999,-1.0579395491851,-1.0532652555793,-0.993846016669266
"328",-0.843166441168099,-1.51770667985612,-0.467430574192493,1.41402769608188,1.14845547374999,1.3306197428483,5.3135187559881e-17,1.64436340939824
"330",-0.986955068720438,-1.67316726842647,-0.240770842933114,1.41402769608188,1.14845547374999,1.3306197428483,0.865554615971111,2.96346812243199
"331",-0.268011930958743,-0.274021971293272,-0.694090305451872,1.17490942404367,1.14845547374999,1.3306197428483,5.3135187559881e-17,0.325258696364487
"332",2.03260610987868,1.59150509155099,0.665868082104401,1.13391772026569,1.14845547374999,1.3306197428483,0.865554615971111,0.325258696364487
